bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary1.thisRepN,binary1.thisTrialN,binary1.thisN,binary1.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,outcome_loop.thisRepN,outcome_loop.thisTrialN,outcome_loop.thisN,outcome_loop.thisIndex,bdm_loop2.thisRepN,bdm_loop2.thisTrialN,bdm_loop2.thisN,bdm_loop2.thisIndex,binary2.thisRepN,binary2.thisTrialN,binary2.thisN,binary2.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm1_resp.keys,instr_bdm1_resp.rt,bdm_bid1.response,bdm_bid1.rt,instr_choice1_resp.keys,instr_choice1_resp.rt,key_resp_choice1.keys,key_resp_choice1.rt,confidence_rating1.response,confidence_rating1.rt,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_outcome.outcm_img,instr_infer_resp.keys,instr_infer_resp.rt,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,instr_bdm2_resp.keys,instr_bdm2_resp.rt,bdm_bid2.response,bdm_bid2.rt,instr_choice2_resp.keys,instr_choice2_resp.rt,key_resp_choice2.keys,key_resp_choice2.rt,confidence_rating2.response,confidence_rating2.rt,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,date,frameRate,expName,session,participant,
31-foxs_golden_biscuits.png,,,,,,,0,16,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,8.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
30-spaghetti_hoops.png,,,,,,,0,17,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
2-steamed_puddings.png,,,,,,,0,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,10.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
43-mrporky_pork_crackles.png,,,,,,,0,19,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,9.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
38-maltesers.png,,,,,,,0,20,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,4.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
10-bounty.png,,,,,,,0,21,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
33-ambrosia_rice.png,,,,,,,0,22,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
29-beans.png,,,,,,,0,23,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
19-caramello.png,,,,,,,0,24,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
23-crunchie.png,,,,,,,0,25,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
