bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary1.thisRepN,binary1.thisTrialN,binary1.thisN,binary1.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,outcome_loop.thisRepN,outcome_loop.thisTrialN,outcome_loop.thisN,outcome_loop.thisIndex,bdm_loop2.thisRepN,bdm_loop2.thisTrialN,bdm_loop2.thisN,bdm_loop2.thisIndex,binary2.thisRepN,binary2.thisTrialN,binary2.thisN,binary2.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm1_resp.keys,instr_bdm1_resp.rt,bdm_bid1.response,bdm_bid1.rt,instr_choice1_resp.keys,instr_choice1_resp.rt,key_resp_choice1.keys,key_resp_choice1.rt,confidence_rating1.response,confidence_rating1.rt,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_outcome.outcm_img,instr_infer_resp.keys,instr_infer_resp.rt,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,instr_bdm2_resp.keys,instr_bdm2_resp.rt,bdm_bid2.response,bdm_bid2.rt,instr_choice2_resp.keys,instr_choice2_resp.rt,key_resp_choice2.keys,key_resp_choice2.rt,confidence_rating2.response,confidence_rating2.rt,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1321.72730584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,32.7248879397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
36-fig_rolls.png,,,,,,,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,84.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
50-polo.png,,,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,6.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
27-hartleys_raspberries_jelly.png,,,,,,,0,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
33-ambrosia_rice.png,,,,,,,0,3,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
4-corn.png,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
22-daim.png,,,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
17-jacobs_mini_cheddars.png,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
30-spaghetti_hoops.png,,,,,,,0,7,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1007,75.0815934423,infer_design1,001,P7,
