bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary1.thisRepN,binary1.thisTrialN,binary1.thisN,binary1.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,outcome_loop.thisRepN,outcome_loop.thisTrialN,outcome_loop.thisN,outcome_loop.thisIndex,bdm_loop2.thisRepN,bdm_loop2.thisTrialN,bdm_loop2.thisN,bdm_loop2.thisIndex,binary2.thisRepN,binary2.thisTrialN,binary2.thisN,binary2.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm1_resp.keys,instr_bdm1_resp.rt,bdm_bid1.response,bdm_bid1.rt,instr_choice1_resp.keys,instr_choice1_resp.rt,key_resp_choice1.keys,key_resp_choice1.rt,confidence_rating1.response,confidence_rating1.rt,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_outcome.outcm_img,instr_infer_resp.keys,instr_infer_resp.rt,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,instr_bdm2_resp.keys,instr_bdm2_resp.rt,bdm_bid2.response,bdm_bid2.rt,instr_choice2_resp.keys,instr_choice2_resp.rt,key_resp_choice2.keys,key_resp_choice2.rt,confidence_rating2.response,confidence_rating2.rt,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,907.909339595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.8152251194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
30-spaghetti_hoops.png,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
13-mccoys_steak_crisps.png,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,11.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
23-crunchie.png,,,,,,,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,15.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
18-mms.png,,,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,6.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
45-chewy_nougat.png,,,,,,,0,4,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
17-jacobs_mini_cheddars.png,,,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
20-fruit_pastilles.png,,,,,,,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,3.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
49-yorkie.png,,,,,,,0,7,7,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_23_1235,75.0735625678,infer_design1,001,P8,
