bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary.thisRepN,binary.thisTrialN,binary.thisN,binary.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm_resp.keys,partnered_pilot_participant,instr_bdm_resp.rt,bdm_bid1.response,bdm_bid1.rt,bdm_marker_start,instr_choice_resp.keys,instr_choice_resp.rt,key_resp_choice.keys,key_resp_choice.rt,confidence_rating1.response,confidence_rating1.rt,confidence_marker_start,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_feedback.feedback_img,trial_start_time,instr_infer_resp.keys,instr_infer_resp.rt,get_ready_resp.keys,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,expName,eye,contacts,frameRate,session,date,participant,glasses,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.45006980543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,['P5'],22.9660361038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
48-twix.png,,,,,,,0,0,0,36,,,,,,,,,,,,,,,,,,,,,,0.14,8.067,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
21-nakd_banana_crunch.png,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,1.02,3.917,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
50-polo.png,,,,,,,0,2,2,38,,,,,,,,,,,,,,,,,,,,,,0.0,2.367,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
22-daim.png,,,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,1.0,4.117,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
36-fig_rolls.png,,,,,,,0,4,4,27,,,,,,,,,,,,,,,,,,,,,,0.0,4.567,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
5-pineapple.png,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,0.0,2.384,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
18-mms.png,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,1.6,3.601,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
8-liquorice_catherine_wheels.png,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,0.1,3.617,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,n,59.9643216768,001,2015_Jul_02_1625,E6,n,
