bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary.thisRepN,binary.thisTrialN,binary.thisN,binary.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm_resp.keys,partnered_pilot_participant,instr_bdm_resp.rt,bdm_bid1.response,bdm_bid1.rt,bdm_marker_start,instr_choice_resp.keys,instr_choice_resp.rt,key_resp_choice.keys,key_resp_choice.rt,confidence_rating1.response,confidence_rating1.rt,confidence_marker_start,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_feedback.feedback_img,trial_start_time,instr_infer_resp.keys,instr_infer_resp.rt,get_ready_resp.keys,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,expName,eye,contacts,frameRate,session,date,participant,glasses,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.74995324396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,['P10'],9.64998853907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
19-caramello_redo.png,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,1.26,7.351,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
45-chewy_nougat_redo.png,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,0.82,5.934,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
3-ellas_strawberries_apples.png,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,1.0,3.516,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
44-crunch.png,,,,,,,0,3,3,33,,,,,,,,,,,,,,,,,,,,,,1.06,2.685,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
23-crunchie_redo.png,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,0.94,5.101,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
48-twix.png,,,,,,,0,5,5,36,,,,,,,,,,,,,,,,,,,,,,0.92,4.917,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
22-daim.png,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,0.08,6.85,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
10-bounty_redo.png,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,1.52,5.001,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
27-hartleys_raspberries_jelly.png,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,0.14,4.067,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
17-jacobs_mini_cheddars_redo.png,,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,0.22,3.734,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
40-sardines.png,,,,,,,0,10,10,29,,,,,,,,,,,,,,,,,,,,,,1.96,7.217,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
5-pineapple.png,,,,,,,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,1.02,2.917,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
30-spaghetti_hoops.png,,,,,,,0,12,12,22,,,,,,,,,,,,,,,,,,,,,,0.12,5.784,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
42-mrkipling_lemon_slices.png,,,,,,,0,13,13,31,,,,,,,,,,,,,,,,,,,,,,0.0,3.551,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
46-pistachios.png,,,,,,,0,14,14,35,,,,,,,,,,,,,,,,,,,,,,2.5,4.217,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
26-walkers_smoky_bacon.png,,,,,,,0,15,15,19,,,,,,,,,,,,,,,,,,,,,,0.38,4.001,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
36-fig_rolls.png,,,,,,,0,16,16,27,,,,,,,,,,,,,,,,,,,,,,0.14,3.434,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
29-beans.png,,,,,,,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,1.52,6.267,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
31-hobnobs.png,,,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,,,,,0.58,2.934,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
6-sour_patch_kids.png,,,,,,,0,19,19,5,,,,,,,,,,,,,,,,,,,,,,0.0,2.317,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
20-fruit_pastilles.png,,,,,,,0,20,20,14,,,,,,,,,,,,,,,,,,,,,,0.0,2.617,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
1-treacle_cookies.png,,,,,,,0,21,21,0,,,,,,,,,,,,,,,,,,,,,,2.44,7.751,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
16-skips_prawn.png,,,,,,,0,22,22,10,,,,,,,,,,,,,,,,,,,,,,0.84,4.734,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
13-mccoys_steak_crisps.png,,,,,,,0,23,23,9,,,,,,,,,,,,,,,,,,,,,,0.78,1.801,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,left,n,60.0240947361,001,2015_Jul_10_1020,E17,y,
