bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary.thisRepN,binary.thisTrialN,binary.thisN,binary.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm_resp.keys,partnered_pilot_participant,instr_bdm_resp.rt,bdm_bid1.response,bdm_bid1.rt,bdm_marker_start,instr_choice_resp.keys,instr_choice_resp.rt,key_resp_choice.keys,key_resp_choice.rt,confidence_rating1.response,confidence_rating1.rt,confidence_marker_start,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_feedback.feedback_img,trial_start_time,instr_infer_resp.keys,instr_infer_resp.rt,get_ready_resp.keys,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,expName,eye,contacts,frameRate,session,date,participant,glasses,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.11686633328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,['P9'],47.7320091219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
18-mms.png,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,1.24,11.684,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
33-ambrosia_rice.png,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,0.0,6.734,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
51-mars.png,,,,,,,0,2,2,39,,,,,,,,,,,,,,,,,,,,,,0.0,4.617,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
44-crunch.png,,,,,,,0,3,3,33,,,,,,,,,,,,,,,,,,,,,,1.06,9.967,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
21-nakd_banana_crunch.png,,,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,0.0,3.167,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
29-beans.png,,,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,0.02,4.017,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
27-hartleys_raspberries_jelly.png,,,,,,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,,0.0,3.934,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
25-kitkat.png,,,,,,,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,0.1,2.867,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
5-pineapple.png,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,0.04,4.134,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
45-chewy_nougat_redo.png,,,,,,,0,9,9,34,,,,,,,,,,,,,,,,,,,,,,0.0,3.101,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
7-olives.png,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,0.44,5.534,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
36-fig_rolls.png,,,,,,,0,11,11,27,,,,,,,,,,,,,,,,,,,,,,0.0,3.534,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
8-liquorice_catherine_wheels.png,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,0.0,3.634,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
50-polo.png,,,,,,,0,13,13,38,,,,,,,,,,,,,,,,,,,,,,0.0,3.901,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
41-peanuts_redo.png,,,,,,,0,14,14,30,,,,,,,,,,,,,,,,,,,,,,0.96,5.851,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
34-hula_hoops_bbq_beef_redo.png,,,,,,,0,15,15,25,,,,,,,,,,,,,,,,,,,,,,0.02,5.151,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
20-fruit_pastilles.png,,,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,0.0,3.417,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
17-jacobs_mini_cheddars_redo.png,,,,,,,0,17,17,11,,,,,,,,,,,,,,,,,,,,,,0.38,5.201,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
43-mrporky_pork_crackles_redo.png,,,,,,,0,18,18,32,,,,,,,,,,,,,,,,,,,,,,0.0,4.017,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
31-hobnobs.png,,,,,,,0,19,19,23,,,,,,,,,,,,,,,,,,,,,,0.0,4.534,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
35-raisins.png,,,,,,,0,20,20,26,,,,,,,,,,,,,,,,,,,,,,0.08,2.051,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
30-spaghetti_hoops.png,,,,,,,0,21,21,22,,,,,,,,,,,,,,,,,,,,,,0.0,3.001,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
46-pistachios.png,,,,,,,0,22,22,35,,,,,,,,,,,,,,,,,,,,,,0.94,3.484,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
4-corn.png,,,,,,,0,23,23,3,,,,,,,,,,,,,,,,,,,,,,0.94,3.534,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
13-mccoys_steak_crisps.png,,,,,,,0,24,24,9,,,,,,,,,,,,,,,,,,,,,,0.02,3.067,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
42-mrkipling_lemon_slices.png,,,,,,,0,25,25,31,,,,,,,,,,,,,,,,,,,,,,0.7,4.184,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
22-daim.png,,,,,,,0,26,26,16,,,,,,,,,,,,,,,,,,,,,,0.14,4.017,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
23-crunchie_redo.png,,,,,,,0,27,27,17,,,,,,,,,,,,,,,,,,,,,,0.22,2.834,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
10-bounty_redo.png,,,,,,,0,28,28,8,,,,,,,,,,,,,,,,,,,,,,0.0,2.951,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
48-twix.png,,,,,,,0,29,29,36,,,,,,,,,,,,,,,,,,,,,,0.52,3.451,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
6-sour_patch_kids.png,,,,,,,0,30,30,5,,,,,,,,,,,,,,,,,,,,,,0.0,2.751,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
49-yorkie.png,,,,,,,0,31,31,37,,,,,,,,,,,,,,,,,,,,,,0.08,3.317,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
19-caramello_redo.png,,,,,,,0,32,32,13,,,,,,,,,,,,,,,,,,,,,,0.06,2.884,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
16-skips_prawn.png,,,,,,,0,33,33,10,,,,,,,,,,,,,,,,,,,,,,0.0,3.434,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
2-steamed_puddings.png,,,,,,,0,34,34,1,,,,,,,,,,,,,,,,,,,,,,0.06,4.067,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
1-treacle_cookies.png,,,,,,,0,35,35,0,,,,,,,,,,,,,,,,,,,,,,0.18,4.134,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
40-sardines.png,,,,,,,0,36,36,29,,,,,,,,,,,,,,,,,,,,,,0.16,4.817,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
26-walkers_smoky_bacon.png,,,,,,,0,37,37,19,,,,,,,,,,,,,,,,,,,,,,0.04,3.517,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
38-maltesers.png,,,,,,,0,38,38,28,,,,,,,,,,,,,,,,,,,,,,0.18,3.567,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
3-ellas_strawberries_apples.png,,,,,,,0,39,39,2,,,,,,,,,,,,,,,,,,,,,,0.18,5.184,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.4167345907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,1-treacle_cookies.png,21-nakd_banana_crunch.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,left,2.28329394739,6.0,2.251,4.2,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,30-spaghetti_hoops.png,19-caramello_redo.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,right,4.66672397085,1.6,2.367,3.1,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,31-hobnobs.png,25-kitkat.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,right,1.81677171009,3.0,2.267,3.3,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,16-skips_prawn.png,42-mrkipling_lemon_slices.png,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,right,2.89992151322,6.0,1.468,3.6,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,22-daim.png,7-olives.png,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,right,2.5833811581,6.0,1.334,3.0,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,35-raisins.png,49-yorkie.png,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,right,3.05011807229,2.9,2.834,4.0,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,34-hula_hoops_bbq_beef_redo.png,36-fig_rolls.png,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,right,4.10006679787,1.5,2.101,3.9,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,27-hartleys_raspberries_jelly.png,51-mars.png,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,right,3.08341807796,2.0,1.901,2.8,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,46-pistachios.png,29-beans.png,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,left,1.85015667421,6.0,1.334,3.1,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,5-pineapple.png,40-sardines.png,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,right,4.80004829517,2.4,5.501,4.0,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,49-yorkie.png,35-raisins.png,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,left,1.63336038889,1.7,4.001,3.5,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
,21-nakd_banana_crunch.png,1-treacle_cookies.png,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,right,1.38350015695,6.0,1.234,4.0,,,,,,,,,,,,,,,,,,,,,,,,infer_design1,right,y,60.048019968,001,2015_Jul_04_1225,E8,n,
