bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary.thisRepN,binary.thisTrialN,binary.thisN,binary.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm_resp.keys,partnered_pilot_participant,instr_bdm_resp.rt,bdm_bid1.response,bdm_bid1.rt,bdm_marker_start,instr_choice_resp.keys,instr_choice_resp.rt,key_resp_choice.keys,key_resp_choice.rt,confidence_rating1.response,confidence_rating1.rt,confidence_marker_start,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_feedback.feedback_img,trial_start_time,instr_infer_resp.keys,instr_infer_resp.rt,get_ready_resp.keys,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,expName,eye,contacts,frameRate,session,date,participant,glasses,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.883612865483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,['P3'],12.2664441395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
36-fig_rolls.png,,,,,,,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,0.6,9.55,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
8-liquorice_catherine_wheels.png,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,0.0,6.384,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
17-jacobs_mini_cheddars_redo.png,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,1.02,4.784,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
43-mrporky_pork_crackles_redo.png,,,,,,,0,3,3,32,,,,,,,,,,,,,,,,,,,,,,0.0,2.401,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
7-olives.png,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,1.46,7.801,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
50-polo.png,,,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,0.5,2.717,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
29-beans.png,,,,,,,0,6,6,21,,,,,,,,,,,,,,,,,,,,,,0.58,2.901,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
25-kitkat.png,,,,,,,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,0.7,5.984,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
5-pineapple.png,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,0.96,6.667,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,l,n,60.002343583,001,2015_Oct_17_1613,C23,y,
